instrument_id,trade_date,as_of_ts,setup_id,setup_kind,side,filled,outcome,net_ticks,gross_ticks,entry_ts,exit_ts,hold_minutes
NA,2025-03-27,2025-03-27T12:00:00+03:00,NAZ5:BOX_BREAKOUT:SELL:20596,BOX_BREAKOUT,SELL,False,NO_FILL,0.0,0.0,,,
BR,2025-04-08,2025-04-08T10:30:00+03:00,BRZ5:PULLBACK_LIMIT:SELL:6389,PULLBACK_LIMIT,SELL,False,NO_FILL,0.0,0.0,,,
MX,2025-04-08,2025-04-08T10:30:00+03:00,MXZ5:PULLBACK_LIMIT:SELL:12119,PULLBACK_LIMIT,SELL,True,SL,-110.5,-104.0,2025-04-08T10:55:00+03:00,2025-04-08T14:40:00+03:00,225.0
SV,2025-04-08,2025-04-08T10:30:00+03:00,SVZ5:PULLBACK_LIMIT:SELL:3232,PULLBACK_LIMIT,SELL,True,SL,-29.5,-23.0,2025-04-08T10:35:00+03:00,2025-04-08T10:40:00+03:00,5.0
BR,2025-04-08,2025-04-08T12:00:00+03:00,BRZ5:PULLBACK_LIMIT:SELL:6389,PULLBACK_LIMIT,SELL,False,NO_FILL,0.0,0.0,,,
HS,2025-04-11,2025-04-11T10:30:00+03:00,HSZ5:PULLBACK_LIMIT:SELL:22289,PULLBACK_LIMIT,SELL,True,EXIT,85.5,92.0,2025-04-11T11:20:00+03:00,2025-04-11T16:25:00+03:00,305.0
HS,2025-04-11,2025-04-11T12:00:00+03:00,HSZ5:PULLBACK_LIMIT:SELL:22289,PULLBACK_LIMIT,SELL,True,EXIT,85.5,92.0,2025-04-11T12:45:00+03:00,2025-04-11T16:25:00+03:00,220.0
HS,2025-04-12,2025-04-12T10:30:00+03:00,HSZ5:BOX_BREAKOUT:SELL:22074,BOX_BREAKOUT,SELL,False,NO_FILL,0.0,0.0,,,
HS,2025-04-12,2025-04-12T10:30:00+03:00,HSZ5:PULLBACK_LIMIT:SELL:22287,PULLBACK_LIMIT,SELL,False,NO_FILL,0.0,0.0,,,
HS,2025-04-12,2025-04-12T12:00:00+03:00,HSZ5:BOX_BREAKOUT:SELL:22074,BOX_BREAKOUT,SELL,False,NO_FILL,0.0,0.0,,,
HS,2025-04-12,2025-04-12T12:00:00+03:00,HSZ5:PULLBACK_LIMIT:SELL:22287,PULLBACK_LIMIT,SELL,False,NO_FILL,0.0,0.0,,,
HS,2025-04-13,2025-04-13T10:30:00+03:00,HSZ5:BOX_BREAKOUT:SELL:22074,BOX_BREAKOUT,SELL,False,NO_FILL,0.0,0.0,,,
HS,2025-04-13,2025-04-13T10:30:00+03:00,HSZ5:PULLBACK_LIMIT:SELL:22287,PULLBACK_LIMIT,SELL,False,NO_FILL,0.0,0.0,,,
HS,2025-04-13,2025-04-13T12:00:00+03:00,HSZ5:BOX_BREAKOUT:SELL:22074,BOX_BREAKOUT,SELL,False,NO_FILL,0.0,0.0,,,
HS,2025-04-13,2025-04-13T12:00:00+03:00,HSZ5:PULLBACK_LIMIT:SELL:22287,PULLBACK_LIMIT,SELL,False,NO_FILL,0.0,0.0,,,
MX,2025-04-14,2025-04-14T10:30:00+03:00,MXZ5:PULLBACK_LIMIT:SELL:12514,PULLBACK_LIMIT,SELL,False,NO_FILL,0.0,0.0,,,
MX,2025-04-14,2025-04-14T12:00:00+03:00,MXZ5:PULLBACK_LIMIT:SELL:12514,PULLBACK_LIMIT,SELL,False,NO_FILL,0.0,0.0,,,
MX,2025-04-15,2025-04-15T10:30:00+03:00,MXZ5:PULLBACK_LIMIT:SELL:12397,PULLBACK_LIMIT,SELL,False,NO_FILL,0.0,0.0,,,
MX,2025-04-15,2025-04-15T12:00:00+03:00,MXZ5:PULLBACK_LIMIT:SELL:12397,PULLBACK_LIMIT,SELL,True,EXIT,9.5,16.0,2025-04-15T12:05:00+03:00,2025-04-15T15:45:00+03:00,220.0
NA,2025-04-17,2025-04-17T12:00:00+03:00,NAZ5:PULLBACK_LIMIT:SELL:19024,PULLBACK_LIMIT,SELL,True,EXIT,172.5,179.0,2025-04-17T12:05:00+03:00,2025-04-17T18:20:00+03:00,375.0
