instrument_id,setups_total,filled_trades,no_fill,gated_out,tp,sl,exit,wins,losses,flats,fill_rate,win_rate,loss_rate,tp_rate,sl_rate,exit_rate,expectancy_net_ticks,gross_ticks_sum,net_ticks_sum,hold_min_mean,hold_min_median,hold_min_p90
PD,15,6,9,0,4,2,0,4,2,0,0.4,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,826.5,5000.0,4959.0,125.83333333333333,162.5,202.5
MM,5,4,1,0,0,2,2,2,2,0,0.8,0.5,0.5,0.0,0.5,0.5,240.0,990.0,960.0,276.25,257.5,460.00000000000006
CC,27,13,14,0,8,5,0,8,5,0,0.48148148148148145,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.38461538461538464,0.0,22.115384615384617,372.0,287.5,71.92307692307692,60.0,123.0
FF,4,4,0,0,2,0,2,4,0,0,1.0,1.0,0.0,0.5,0.0,0.5,49.5,224.0,198.0,277.5,277.5,390.0
HS,11,3,8,0,0,0,3,3,0,0,0.2727272727272727,1.0,0.0,0.0,0.0,1.0,64.16666666666667,212.0,192.5,305.0,305.0,373.0
NA,2,1,1,0,0,0,1,1,0,0,0.5,1.0,0.0,0.0,0.0,1.0,172.5,179.0,172.5,375.0,375.0,375.0
N2,1,1,0,0,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0.0,1.0,87.5,94.0,87.5,295.0,295.0,295.0
NG,5,2,3,0,2,0,0,2,0,0,0.4,1.0,0.0,1.0,0.0,0.0,31.5,76.0,63.0,240.0,240.0,276.0
AN,2,2,0,0,1,1,0,1,1,0,1.0,0.5,0.5,0.5,0.5,0.0,27.0,67.0,54.0,147.5,147.5,233.5
NR,6,4,2,0,2,2,0,2,2,0,0.6666666666666666,0.5,0.5,0.5,0.5,0.0,7.0,54.0,28.0,173.75,200.0,266.0
KC,5,1,4,0,1,0,0,1,0,0,0.2,1.0,0.0,1.0,0.0,0.0,26.5,33.0,26.5,35.0,35.0,35.0
SU,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BR,5,2,3,0,0,1,1,1,1,0,0.4,0.5,0.5,0.0,0.5,0.5,-1.0,11.0,-2.0,262.5,262.5,440.5
CE,4,2,2,0,0,1,1,0,2,0,0.5,0.0,1.0,0.0,0.5,0.5,-6.5,0.0,-13.0,242.5,242.5,432.5
NC,1,1,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,-14.5,-8.0,-14.5,5.0,5.0,5.0
GD,4,1,3,0,0,1,0,0,1,0,0.25,0.0,1.0,0.0,1.0,0.0,-22.5,-15.0,-22.5,5.0,5.0,5.0
MX,9,5,4,0,1,3,1,2,3,0,0.5555555555555556,0.4,0.6,0.2,0.6,0.2,-13.3,-34.0,-66.5,176.0,220.0,267.0
S1,5,2,3,0,0,2,0,0,2,0,0.4,0.0,1.0,0.0,1.0,0.0,-57.25,-101.0,-114.5,90.0,90.0,146.0
PT,25,6,19,0,1,5,0,1,5,0,0.24,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,-42.416666666666664,-215.0,-254.5,101.66666666666667,55.0,237.5
SV,17,11,6,0,0,10,1,1,10,0,0.6470588235294118,0.09090909090909091,0.9090909090909091,0.0,0.9090909090909091,0.09090909090909091,-30.727272727272727,-266.0,-338.0,131.36363636363637,80.0,240.0
